"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"12959","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP818/2025-2026/231791","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","07-May-2026","HUKAM SHREE","Payment Success","400627"
"12960","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243649","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","27-Jun-2026","HUKAM SHREE","Payment Success","504297"
"12961","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243651","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","26-May-2026","HUKAM SHREE","Payment Success","206852"
"12962","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243652","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","07-May-2026","HUKAM SHREE","Payment Success","612230"
"12963","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243652","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","28-Jun-2026","HUKAM SHREE","Payment Success","422702"
"12964","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243653","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","07-May-2026","HUKAM SHREE","Payment Success","201026"
"12965","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/200255","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","16-Feb-2026","HUKAM SHREE","Payment Success","287136"
"12966","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/200255","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","07-May-2026","HUKAM SHREE","Payment Success","170796"
"12967","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/219648","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","27-Jun-2026","HUKAM SHREE","Payment Success","222531"
"12968","Uttar Pradesh","Development of public parks","WS/MP818/2025-2026/184533","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","20-Jul-2026","HUKAM SHREE","Payment Success","813683"
"12969","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175735","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","31-Jul-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","497586"
"12970","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175736","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","07-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","995172"
"12971","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175737","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","07-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","497586"
"12972","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175738","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","07-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","995172"
"12973","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175739","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","10-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","497586"
"12974","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175740","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","10-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","497586"
"12975","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18099/2025-2026/175741","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","10-Aug-2026","MP STATE CO OPERATIVE MARKETING FEDERATION LTD SEHORE","Payment Success","497586"
"12976","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/232310","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","20-Feb-2026","Development Fund Shillong Vidyalaya","Payment Success","200000"
"12977","West Bengal","Street lights","WS/MP18251/2025-2026/172934","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","28-Feb-2026","GANGA ELECTRIC","Payment Success","598796"
"12978","Karnataka","Construction of community centers and community halls","WS/	 MP620/2025-2026/206518","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Pralhad Venkatesh Joshi","DHARWAD","17-Feb-2026","Virupakshappa M Satannavar","Payment Success","375000"
"12979","Karnataka","Construction of community centers and community halls","WS/	 MP620/2025-2026/206518","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Pralhad Venkatesh Joshi","DHARWAD","09-Apr-2026","Virupakshappa M Satannavar","Payment Success","122336"
"12980","Punjab","Purchase of immovable sports equipment","WS/MP18154/2025-2026/250965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","26-Feb-2026","KULDEEP WELDING AND TRACTOR WORKSHOP","Payment Success","23035"
"12981","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/166563","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","12-Feb-2026","Baba Gareeb Das Building Material","Payment Success","79500"
"12982","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/267148","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","21-Aug-2026","Jagdish Cement Store","Payment Success","88000"
"12983","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/166553","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","12-Feb-2026","Jagdish Cement Store","Payment Success","60200"
"12984","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/228140","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","20-Aug-2026","Jagdish Cement Store","Payment Success","330000"
"12985","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/239559","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","17-Feb-2026","BS CONCRETE INDUSTRY","Payment Success","236600"
"12986","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/239559","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","25-May-2026","BS CONCRETE INDUSTRY","Payment Success","59150"
"12987","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/239563","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","27-May-2026","BS CONCRETE INDUSTRY","Payment Success","400000"
"12988","Gujarat","Construction of rooms and halls in school and colleges","WS/MP18344/2025-2026/177749","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","11-Feb-2026","MESVAN GRAM PANCHAYAT","Payment Success","349115"
"12989","Gujarat","Construction of rooms and halls in school and colleges","WS/MP18344/2025-2026/177767","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","12-Feb-2026","MESVAN GRAM PANCHAYAT","Payment Success","349084"
"12990","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/166561","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","12-Feb-2026","G S Tiles Factory","Payment Success","114700"
"12991","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/230316","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri PP Chaudhary","PALI","26-Feb-2026","LAXMI CONSTRUCTION COMPANY","Payment Success","998499"
"12992","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/166561","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","12-Feb-2026","Guru Nanak Raita Bazri Supplier","Payment Success","65450"
"12993","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/259401","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","21-Aug-2026","Guru Nanak Raita Bazri Supplier","Payment Success","144000"
"12994","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/259402","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","11-Apr-2026","Guru Nanak Raita Bazri Supplier","Payment Success","158780"
"12995","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18133/2025-2026/148571","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","12-Mar-2026","Indrajit Vasantrao Salunkhe","Payment Success","500000"
"12996","Meghalaya","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP18137/2025-2026/161371","EASTERN WEST KHASI HILLS(DEPUTY COMMISSIONER EASTERN WEST KHASI HILLS MAIRANG_IDA)","ANDREW J. SYNGKON","SHILLONG","12-Feb-2026","BHABOKLANG RYNTATHIANG","Payment Success","150000"
"12997","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP740/2025-2026/228442","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","17-Feb-2026","MANAGAI PATHIPAGAM","Payment Success","470000"
"12998","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161377","EASTERN WEST KHASI HILLS(DEPUTY COMMISSIONER EASTERN WEST KHASI HILLS MAIRANG_IDA)","ANDREW J. SYNGKON","SHILLONG","12-Feb-2026","KHARTHANGMAW LP SCHOOL","Payment Success","100000"
"12999","West Bengal","Providing CCTV camera system for security of public areas","WS/MP243/2025-2026/200673","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","06-Mar-2026","GNX IT SHOP AND SERVICES","Payment Success","199970"
"13000","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/226429","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","11-Feb-2026","GRAM PANCHAYAT JALIA","Payment Success","400000"
"13001","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18260/2025-2026/190466","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","27-Apr-2026","Ishfaq Ahmad MIr","Payment Success","126900"
"13002","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18260/2025-2026/190476","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","27-Apr-2026","Ishfaq Ahmad MIr","Payment Success","161400"
"13003","Maharashtra","Construction of community centers and community halls","WS/MP18114/2025-2026/157610","BEED(DISTRICT COLLECTOR BEED_IDA)","BAJRANG MANOHAR SONWANE","BEED","24-Feb-2026","Ch Mauli Majur Sahkari Sanstha LTD Beed","Payment Success","999800"
"13004","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18076/2025-2026/201010","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","17-Mar-2026","RURAL EDUCATION SOCIETY","Payment Success","3750000"
"13005","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247230","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","25-Jun-2026","SAVITRI DEVI","Payment Success","1419194"
"13006","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247230","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","SAVITRI DEVI","Payment Success","471528"
"13007","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/205422","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","11-Feb-2026","SAVITRI DEVI","Payment Success","1449079"
"13008","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/205422","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Feb-2026","SAVITRI DEVI","Payment Success","495105"
"13009","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18166/2025-2026/239889","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","12-Feb-2026","sunda suppliers","Payment Success","357672"
"13010","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP746/2025-2026/269929","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","23-Feb-2026","Thachinamoorthy","Payment Success","999052"
"13011","Tamil Nadu","Construction of common work sheds/ common covered sitting area","WS/MP740/2025-2026/219247","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","09-Mar-2026","NEOM BUILDERS","Payment Success","500000"
"13012","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18156/2025-2026/225107","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","13-Feb-2026","MOHIT CONSTRUCTOR","Payment Success","386131"
"13013","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18156/2025-2026/225107","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","22-Jun-2026","MOHIT CONSTRUCTOR","Payment Success","95215"
"13014","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/230365","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","18-Feb-2026","GRAM PANCHAYAT JUJARPUR","Payment Success","249504"
"13015","Punjab","Construction of community centers and community halls","WS/MP18156/2025-2026/184794","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","16-Feb-2026","DHILLON UDYOG COMPANY","Payment Success","43680"
"13016","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP017/2025-2026/156775","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","12-Feb-2026","C N ARUMUGAM","Payment Success","2300000"
"13017","Tamil Nadu","Construction of community centers and community halls","WS/MP017/2026-2027/206109","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","14-May-2026","C N ARUMUGAM","Payment Success","614970"
"13018","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/209980","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","11-Feb-2026","Sunita devi","Payment Success","3705"
"13019","Tamil Nadu","Setting up public non-conventional energy plants","WS/MP18176/2025-2026/198920","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","13-Feb-2026","SAT LIGHT AND POWER","Payment Success","498120"
"13020","Tamil Nadu","Setting up public non-conventional energy plants","WS/MP18176/2025-2026/198921","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","13-Feb-2026","SAT LIGHT AND POWER","Payment Success","498120"
"13021","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18351/2025-2026/250045","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","25-May-2026","SALLEPALLE VENKATA RAMI REDDY","Payment Success","472832"
"13022","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18351/2025-2026/250046","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","17-Feb-2026","SALLEPALLE VENKATA RAMI REDDY","Payment Success","472130"
"13023","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2026-2027/140334","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","12-Jun-2026","JAI CONSTRUCTION","Payment Success","1400000"
"13024","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2025-2026/197193","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Andimuthu Raja","NILGIRIS(SC)","12-Feb-2026","JAI CONSTRUCTION","Payment Success","1600000"
"13025","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/253537","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","12-Feb-2026","SRI SAI ENTERPRISES","Payment Success","200000"
"13026","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/253538","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","12-Feb-2026","SRI SAI ENTERPRISES","Payment Success","200000"
"13027","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/253543","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","12-Feb-2026","SRI SAI ENTERPRISES","Payment Success","200000"
"13028","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/253544","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","12-Feb-2026","SRI SAI ENTERPRISES","Payment Success","200000"
"13029","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP478/2025-2026/154176","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","25-Mar-2026","kanta devi","Payment Success","5040"
"13030","Odisha","Construction of culverts and bridges","WS/MP453/2025-2026/229258","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","12-Apr-2026","ASSISTANT ENGINEER PANCHAYAT SAMITI POTTANGI","Payment Success","400000"
"13031","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/208430","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","12-Feb-2026","ASSISTANT ENGINEER PANCHAYAT SAMITI POTTANGI","Payment Success","200000"
"13032","Odisha","Construction of culverts and bridges","WS/MP453/2025-2026/208431","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","12-Feb-2026","ASSISTANT ENGINEER PANCHAYAT SAMITI POTTANGI","Payment Success","200000"
"13033","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2025-2026/196742","MALERKOTLA(Deputy Commissioner Malerkotla_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","16-Feb-2026","Sukhwinder singh Sarpanch","Payment Success","116468"
"13034","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2025-2026/196742","MALERKOTLA(Deputy Commissioner Malerkotla_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","01-Jul-2026","Sukhwinder singh Sarpanch","Payment Success","62413"
"13035","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/230113","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","30-Jun-2026","BHARKUNDA GRAM PANCHAYAT","Payment Success","200000"
"13036","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/194446","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","13-Feb-2026","BHARKUNDA GRAM PANCHAYAT","Payment Success","199993"
"13037","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/230116","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Feb-2026","KANIYEL GRAM PANCHAYAT","Payment Success","250000"
"13038","Haryana","Retrofitting in essential lifeline buildings","WS/MP431/2024-2025/135540","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Rao Inderjit Singh","GURGAON","19-Feb-2026","Pawan Kumar Contractor","Payment Success","1019947"
"13039","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/247846","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Feb-2026","BHUVALDI GRAM PANCHAYAT","Payment Success","450000"
"13040","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/247847","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Feb-2026","BHUVALDI GRAM PANCHAYAT","Payment Success","450000"
"13041","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/247848","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Feb-2026","BHUVALDI GRAM PANCHAYAT","Payment Success","449999"
"13042","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2026-2027/264837","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","05-Aug-2026","BHUVALDI GRAM PANCHAYAT","Payment Success","199964"
"13043","Maharashtra","Construction of community centers and community halls","WS/MP687/2025-2026/182099","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Sunil Dattatray Tatkare","RAIGAD","13-Feb-2026","Rupesh Anant Durgavale","Payment Success","1221090"
"13044","Maharashtra","Construction of community centers and community halls","WS/MP687/2025-2026/182099","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Sunil Dattatray Tatkare","RAIGAD","02-Apr-2026","Rupesh Anant Durgavale","Payment Success","1277910"
"13045","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/174606","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","18-Feb-2026","ASIT KUMAR PATEL","Payment Success","390106"
"13046","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/232961","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","ANDREW J. SYNGKON","SHILLONG","17-Feb-2026","PHRINLYSHON K SYIEMLIEH","Payment Success","150000"
"13047","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","MAHENDRA SINGH","Payment Success","6750"
"13048","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","MAMTA KUMARI","Payment Success","3025"
"13049","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","SATPAL","Payment Success","6750"
"13050","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","PARVEEN","Payment Success","8250"
"13051","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206387","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","10-Feb-2026","PARVEEN","Payment Success","9750"
"13052","West Bengal","Construction of footpaths and pedestrian ways","WS/MP18251/2025-2026/161221","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","08-May-2026","N H ENTERPRISES","Payment Success","796612"
"13053","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/206388","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","26-Feb-2026","MANISH","Payment Success","8250"
"13054","Tamil Nadu","Construction of water tanks","WS/MP18180/2025-2026/184778","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","09-Feb-2026","VEERAKUMAR k","Payment Success","2277373"
"13055","Tamil Nadu","Construction of water tanks","WS/MP18180/2025-2026/184779","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","09-Feb-2026","VEERAKUMAR k","Payment Success","2276259"
"13056","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/237024","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","31-Jul-2026","VEERAKUMAR k","Payment Success","1779834"
