"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4017","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18346/2025-2026/219220","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","17-Jul-2026","Mahadev prasad","Payment Success","163113"
"4018","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275092","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","23-Jul-2026","GRAM PANCHAYAT KOYLARJHORI","Payment Success","250000"
"4019","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/239236","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","18-Jul-2026","MS SUSHMA CONSTRUCTION","Payment Success","440400"
"4020","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/254868","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","05-Aug-2026","MAA ENTERPRISE","Payment Success","134380"
"4021","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/254868","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","05-Aug-2026","MAA ENTERPRISE","Payment Success","134340"
"4022","Bihar","Renovation of ponds and lakes","WS/MP18044/2025-2026/232324","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","20-Jul-2026","CHANDRA KANT MANI","Payment Success","593277"
"4023","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18346/2025-2026/219219","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","22-Jul-2026","MAA PITAMBRA GROUP","Payment Success","321713"
"4024","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/288910","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","30-Jul-2026","Gram Panchayat Jaitpur","Payment Success","250000"
"4025","Punjab","Renovation of ponds and lakes","WS/MP18314/2025-2026/219609","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","04-Aug-2026","Inderjeet Singh","Payment Success","96600"
"4026","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/184566","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","01-Aug-2026","SRI TIRUMALA ELEVATORS AND ENTERPRISES","Payment Success","125000"
"4027","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/286173","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","23-Jul-2026","Gram Panchayat Kaikhoda","Payment Success","250000"
"4028","Madhya Pradesh","Construction of community centers and community halls","WS/MP18104/2026-2027/154225","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","21-Jul-2026","SHRI SANKAT MOCHAN JAN KALYAN SAMITI","Payment Success","180000"
"4029","Maharashtra","Construction of community centers and community halls","WS/MP18134/2025-2026/179433","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI(SC)","29-Jul-2026","Ch Shramlaxmi Majur Sah Sanstha Ltd Waladgaon","Payment Success","496027"
"4030","Punjab","Construction of stadiums","WS/MP18158/2025-2026/230318","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","16-Jul-2026","ms Karam Chand hari singh bko","Payment Success","48972"
"4031","Punjab","Construction of stadiums","WS/MP18158/2025-2026/230318","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","16-Jul-2026","ms Karam Chand hari singh bko","Payment Success","48972"
"4032","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP643/2025-2026/251157","Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA)","Gyaneshwar Patil","KHANDWA","18-Jul-2026","Sudhir Bare","Payment Success","34900"
"4033","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP643/2025-2026/251157","Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA)","Gyaneshwar Patil","KHANDWA","18-Jul-2026","Dilip Patel","Payment Success","34800"
"4034","Karnataka","Construction of community centers and community halls","WS/MP18356/2026-2027/213107","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","PRIYANKA SATISH JARKIHOLI","CHIKKODI","25-Jul-2026","RAGHVENDRA MARUTI NAIK","Payment Success","375000"
"4035","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18356/2026-2027/228792","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","PRIYANKA SATISH JARKIHOLI","CHIKKODI","25-Jul-2026","VINAYAK MANE","Payment Success","375000"
"4036","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18143/2026-2027/276613","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","16-Jul-2026","PITHA HANSDAH","Payment Success","451220"
"4037","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/246930","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","16-Jul-2026","S K ENTERPRISES","Payment Success","967324"
"4038","Andhra Pradesh","Construction of bus-sheds or bus-stops","WS/MP18014/2025-2026/240964","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","27-Jul-2026","CHERUKURU CHINNA PENCHALAIAH","Payment Success","499887"
