"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"5617","Normal/Others","WS/MP18317/2024-2025/144463-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 16 KAPOORPUR ME GOJITAR SHANKAR JII KE MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","08-Jan-2025","216400","Vendor Identification"
"5618","Normal/Others","WS/MP18317/2024-2025/144464-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 13 COLLECTOR GHAT PER SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","08-Jan-2025","216400","Vendor Identification"
"5619","Normal/Others","WS/MP18317/2024-2025/144465-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 13 HARISHANKARI ME RAJKGADDI KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","08-Jan-2025","216400","Vendor Identification"
"5620","Normal/Others","WS/MP18317/2024-2025/144466-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 21 ME DADRIGHAT CHAURAHE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5621","Normal/Others","WS/MP18317/2024-2025/144468-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 ROADWAYS KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5622","Normal/Others","WS/MP18317/2024-2025/144469-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 RAILWAY STATION KE GATE KE  CHAURAHE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5623","Normal/Others","WS/MP18317/2024-2025/144470-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 SAKLENABAD DURGA MANDIR KE CHAURAHE KE PASSSARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5624","Normal/Others","WS/MP18317/2024-2025/144472-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 15 NAKHAS KE PANCHRASTE PAR ARJUN VERMA KE MAKAN KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5625","Normal/Others","WS/MP18317/2024-2025/144474-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 20 TULSIA KE PULL PAR SHIV MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5626","Normal/Others","WS/MP18317/2024-2025/144475-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 VISHESHAN GANJ BJP KARYALAY KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5627","Normal/Others","WS/MP18317/2024-2025/144476-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 NITIN AGRAHARI KE GHAR KE SAMNE TIRAHE PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5628","Normal/Others","WS/MP18317/2024-2025/144477-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 17 MALGODAM ROAD PAR RINKU AGRAWAL KE LAWN KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5629","Normal/Others","WS/MP18317/2024-2025/144478-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 4 KAZITOLA RAMESHWAR GHAT PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5630","Normal/Others","WS/MP18317/2024-2025/144479-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 16 NETA CHAI WALE KE TIRAHE KE PASSSARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5631","Normal/Others","WS/MP18317/2024-2025/144481-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 22 ME NAI SABZI MANDI KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5632","Normal/Others","WS/MP18317/2024-2025/144482-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD GHAZIPUR WARD NO 6 HARIHAR PALACE KE PASS TIRAHE PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5633","Normal/Others","WS/MP18317/2024-2025/144483-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM FATEHULLAPUR SHIV MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5634","Normal/Others","WS/MP18317/2024-2025/144484-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM FATEHULLAPUR RISHIKESH BIND KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5635","Normal/Others","WS/MP18317/2024-2025/144485-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHAK ABDUL BAHAB MANUAPUR SANKAR JI KE MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5636","Normal/Others","WS/MP18317/2024-2025/144486-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM BHATAULI ME TEJ BAHADUR SINGH KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5637","Normal/Others","WS/MP18317/2024-2025/144487-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM BHATAULI ME KAMLA KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5638","Normal/Others","WS/MP18317/2024-2025/144488-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM BHATAULI ME PRADHAN BIND KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5639","Normal/Others","WS/MP18317/2024-2025/144489-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MIRANPURSAKKA ME SHIV MANDIR KE SAMNE SARWAJANIK STHAL PAR TRIMUHANI PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5640","Normal/Others","WS/MP18317/2024-2025/144490-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MIRANPURSAKKA ME KALI MANDIR MADAI MAUJA TIRAHA  PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5641","Normal/Others","WS/MP18317/2024-2025/144491-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANNILINE SAMRAT DHABBA MOD KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5642","Normal/Others","WS/MP18317/2024-2025/144492-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANNILINE TENI MAURYA SCHOOL CHAURAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5643","Normal/Others","WS/MP18317/2024-2025/144493-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE MANGAL MARAI CHAURAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5644","Normal/Others","WS/MP18317/2024-2025/144494-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE PRATHMIK VIDHYALAY CHAURAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5645","Normal/Others","WS/MP18317/2024-2025/144495-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE TEJU SINGH KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5646","Normal/Others","WS/MP18317/2024-2025/144496-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE DEVNATH KUSHWAHA KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5647","Normal/Others","WS/MP18317/2024-2025/144497-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE BUDDHA HOSTEL  CHAURAHA NAHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5648","Normal/Others","WS/MP18317/2024-2025/144498-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE GLORIOUS PUBLIC SCHOOL MOD KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5649","Normal/Others","WS/MP18317/2024-2025/144499-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE LATE GULAB LOHAR KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5650","Normal/Others","WS/MP18317/2024-2025/144500-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE UMA PRADHAN KE GHAR KE PASS SARWAJANIK STHAL PAR AGHORIYA BABA MANDIR KE PASS 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","245000","Vendor Identification"
"5651","Normal/Others","WS/MP18317/2024-2025/144501-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE DINA KUSHWAHA KE GHAR KE SAMNE TIRAHE PAR SARWAJANIK STHAL PAR AGHORIYA BABA MANDIR KE PASS 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5652","Normal/Others","WS/MP18317/2024-2025/144502-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM CHHAWANILINE KALLUTA ME SHAMSHER KUSHWAHA KE GHAR KE PASS TIRAHE PAR  SARWAJANIK STHAL PAR AGHORIYA BABA MANDIR KE PASS 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5653","Normal/Others","WS/MP18317/2024-2025/144503-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM GODA DEHATI GAYATRI MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5654","Normal/Others","WS/MP18317/2024-2025/144504-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM RASSOLPUR KANDHWARA ME AMBEDKAR JI KE PRATIMA KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5655","Normal/Others","WS/MP18317/2024-2025/144505-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME RAMSURAT BIND KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5656","Normal/Others","WS/MP18317/2024-2025/144506-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME PRATHMIK VIDHYALAY KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5657","Normal/Others","WS/MP18317/2024-2025/144507-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME DR. PRADYUM KE GHAR KE BAGAL ME SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5658","Normal/Others","WS/MP18317/2024-2025/144508-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME BINDU BIND KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5659","Normal/Others","WS/MP18317/2024-2025/144509-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME UNION BANK KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5660","Normal/Others","WS/MP18317/2024-2025/144510-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHARAJGANJ ME PREM JAISWAL KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5661","Normal/Others","WS/MP18317/2024-2025/144511-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADER GRAM MAHRAJGANJ ME BAKRABAD ROD PER AARA MASHIN TIRAHE KE PASS  SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5662","Normal/Others","WS/MP18317/2024-2025/144512-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM MAHRAJGANJ ME POLICE CHOWKI KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5663","Normal/Others","WS/MP18317/2024-2025/144513-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM FATEHPUR SIKANDAR SADHU CHOWK SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5664","Normal/Others","WS/MP18317/2024-2025/144514-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM FATEHPUR SIKANDAR KALI NAGAR COLONY ME KALI MATA MANDIR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5665","Normal/Others","WS/MP18317/2024-2025/144515-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM FATEHPUR SIKANDAR FULLANPUR RAILWAY CROSSING TIRAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5666","Normal/Others","WS/MP18317/2024-2025/144516-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM DHAWA ME BEGAMPUR PURANI BADI KALI MATA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5667","Normal/Others","WS/MP18317/2024-2025/144517-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM PITHAPUR ME SHIV SHAKTI MADIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5668","Normal/Others","WS/MP18317/2024-2025/144518-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM RAJDEPUR DEHATI ME HANUMAN MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5669","Normal/Others","WS/MP18317/2024-2025/144519-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK SADAR GRAM AURANGABAD NAHAR KE PULIYA KE PASS CHAHUMUHANI PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
