"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"562","Normal/Others","WS/MP146/2023-2024/11202-Construction of public toilets and bathrooms","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of public toilet at drinker (Pyau) at Gajsingh Bhomiaji Temple in Gram Panchayat Ketoo Ham, P.S. Shekhala, Dist. Jodhpur","19-Aug-2023","24-Feb-2024","700000","Vendor Identification"
"563","Normal/Others","WS/MP146/2023-2024/11203-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Grewal Road from Damar Road to Kaudada Mandir in Gram Panchayat Ketoo Hama, P.S. Sekhala, Dist. Jodhpur","19-Aug-2023","08-Sep-2023","1500000","Vendor Identification"
"564","Normal/Others","WS/MP146/2023-2024/11221-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Library / Reading Room with Toilet & Washroom near Sabal Singh residence Hapa, Gram Panchayat, Adbala, P.S. Sam, Dist. Jaisalmer","19-Aug-2023","09-Oct-2023","1000000","Physical Inspection"
"565","Normal/Others","WS/MP146/2023-2024/11222-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Reading Room cum Library near Gaziram Meghwal residence ward no.3, Gram Panchayat Chelak, P.S. Fatehgarh, Jaisalmer","19-Aug-2023","09-Oct-2023","1000000","Physical Inspection"
"566","Normal/Others","WS/MP146/2023-2024/11223-Construction of community centers and community halls","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Meeting Hall near Balsingh/Viradhsingh residence, Gram Panchayat Phuliya, P.S. Sam, Jaisalmer","19-Aug-2023","09-Oct-2023","1000000","Physical Inspection"
"567","Normal/Others","WS/MP146/2023-2024/11226-Construction of community centers and community halls","Rajasthan","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in Regar Mohalla,Gram Panchayat Netawalgarh Pachhli, Dist. Chittorgarh","19-Aug-2023","27-Sep-2023","2500000","Physical Inspection"
"568","Repair and Renovation","WS/MP146/2023-2024/11228-Construction of community centers and community halls","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Renovation and extension work of Sanskrutik Bhawan (Indra Bhawan), Gram Panchayat mandal Charnan, P.S. Kolayat, Bikaner","19-Aug-2023","24-Sep-2023","3000000","Work partially Completed"
"569","Normal/Others","WS/MP146/2023-2024/11229-Development of playfields and sports grounds","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of boundary wall of Play ground at Gram Panchayat Rajlani, P.S. Bhopalgarh, Jodhpur","19-Aug-2023","16-Jan-2024","992000","Physical Inspection"
"570","Normal/Others","WS/MP146/2024-2025/11244-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of 4 Class Rooms at Government Higher Secondary School, Nawan Shahar, Block Nawa, Dist. Nagaur","19-Aug-2023","04-Dec-2024","2208899","Physical Inspection"
"571","Normal/Others","WS/MP146/2023-2024/11247-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Reading Room/Library near Khetsingh/Ramsingh residence, Gram Panchayat Moolana, Fatehgarh, Jaisalmer","19-Aug-2023","09-Oct-2023","1499650","Physical Inspection"
"572","Normal/Others","WS/MP015/2023-2024/11755-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at First Street in Annai Velu City, Veerapandi Village,Madurai District.(2022-2023)","21-Aug-2023","20-Dec-2023","998057","Physical Inspection"
"573","Normal/Others","WS/MP015/2023-2024/11756-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road from AlanganallurMain Road to Pillayar Kovil in Annai Velu city,Veerapandi Village,Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","997940","Physical Inspection"
"574","Normal/Others","WS/MP015/2023-2024/11757-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Second Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","20-Dec-2023","997690","Physical Inspection"
