"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1962","Telangana","Installation of fixed garden gym equipment","WS/MP171/2026-2027/150603","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","27-Jul-2026","VEMULA KRISHNA","Payment Success","857386"
"1963","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","dhapi","Payment Success","3705"
"1964","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","KAVITA","Payment Success","3705"
"1965","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","KULDEEP","Payment Success","9750"
"1966","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","KULDEEP","Payment Success","3705"
"1967","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","ASHOK KUMAR","Payment Success","3705"
"1968","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","ASHOK KUMAR","Payment Success","9750"
"1969","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","DILESINGH","Payment Success","3705"
"1970","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","DILESINGH","Payment Success","3575"
"1971","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","SURESH KUMAR","Payment Success","3705"
"1972","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","SURESH KUMAR","Payment Success","3705"
"1973","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","MANOJ","Payment Success","3705"
"1974","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","MANOJ","Payment Success","3705"
"1975","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","Rakesh","Payment Success","3705"
"1976","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","VINOD KUMAR","Payment Success","9750"
"1977","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","VINOD KUMAR","Payment Success","9750"
"1978","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","Vikas","Payment Success","9000"
"1979","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","Vikas","Payment Success","9750"
"1980","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","shakuntala","Payment Success","3705"
"1981","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","kavita kumari","Payment Success","3705"
"1982","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","Deepak Kumar","Payment Success","9750"
"1983","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/266384","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","06-May-2026","Deepak Kumar","Payment Success","9750"
"1984","Kerala","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP095/2024-2025/133317","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","07-May-2026","Najeeb N A","Payment Success","2106140"
"1985","Punjab","Development of playfields and sports grounds","WS/MP235/2025-2026/273482","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Surya Bricks Company","Payment Success","117600"
"1986","Punjab","Development of playfields and sports grounds","WS/MP235/2025-2026/273482","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Surya Bricks Company","Payment Success","180320"
"1987","Haryana","Construction of toilet blocks","WS/MP18425/2025-2026/202260","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","11-May-2026","BHATTI CEMENT AND HARDWARE STORE","Payment Success","17500"
"1988","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224034","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","14-May-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","22304"
"1989","Maharashtra","Street lights","WS/MP116/2026-2027/176106","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-May-2026","ROYAL ELECTRICALS AND ELEVATORS","Payment Success","929010"
"1990","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/227162","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","25-Mar-2026","Baljinder Singh JE","Payment Success","14196"
"1991","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/227162","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","04-May-2026","Baljinder Singh JE","Payment Success","14196"
"1992","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/269201","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Karariya","Payment Success","280000"
"1993","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/269201","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Jun-2026","Karariya","Payment Success","120000"
"1994","Odisha","Street lights","WS/MP138/2025-2026/213920","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","25-Mar-2026","CHINMAYEE SAHOO","Payment Success","210000"
"1995","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","Auro Biotechnologies Pvt Ltd","Payment Success","2000"
"1996","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","The Digital Hub","Payment Success","63390"
"1997","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","The Digital Hub","Payment Success","15570"
"1998","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244993","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","125000"
"1999","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244994","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2000","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244995","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2001","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244996","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2002","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244997","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","59000"
"2003","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244998","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","1155448"
"2004","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244107","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","600000"
"2005","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244109","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","400000"
"2006","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/277158","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-May-2026","Bajaj Enterprises","Payment Success","30150"
"2007","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2008","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","35000"
"2009","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","42900"
"2010","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2011","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2012","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","35000"
"2013","Punjab","Installation of multi-gym equipment","WS/MP235/2025-2026/268741","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","AS Sports Trophies and Gift","Payment Success","300000"
"2014","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","AS Sports Trophies and Gift","Payment Success","400000"
"2015","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","Darshan Singh","Payment Success","125000"
"2016","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2025-2026/268748","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","Darshan Singh","Payment Success","88425"
"2017","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","JMD Tile and sanitation","Payment Success","14000"
"2018","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/262270","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","02-Apr-2026","SHREE KRISHNA ENTERPRISES","Payment Success","80001"
"2019","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/262270","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","02-Apr-2026","JEEVAN KUMAR PATEL","Payment Success","79997"
"2020","Karnataka","Construction of rooms and halls in school and colleges","WS/MP838/2025-2026/266550","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","20-Jun-2026","B RAGHAVENDRA GOWDA","Payment Success","499353"
"2021","Punjab","Installing tube-wells and borewells","WS/MP844/2025-2026/238954","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","10-Apr-2026","MS Dashmesh Engineers","Payment Success","2314839"
