mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_397,Lok Sabha,S Supongmeren Jamir,Nagaland,NAGALAND,,147000000.0
MP_LS_398,Lok Sabha,S Venkatesan,Tamil Nadu,MADURAI,,147000000.0
MP_LS_399,Lok Sabha,S. Jagathrakshakan,Tamil Nadu,ARAKKONAM,,180589332.34
MP_LS_400,Lok Sabha,Sachithanantham R,Tamil Nadu,DINDIGUL,,147000000.0
MP_LS_401,Lok Sabha,Sagar Eshwar Khandre,Karnataka,BIDAR,,147000000.0
MP_LS_402,Lok Sabha,Saleng A Sangma,Meghalaya,TURA,,147000000.0
MP_LS_403,Lok Sabha,Sambit Patra,Odisha,PURI,,147000000.0
MP_LS_404,Lok Sabha,Sanatan Pandey,Uttar Pradesh,BALLIA,,180420041.4
MP_LS_405,Lok Sabha,Sanjay Dina Patil,Maharashtra,MUMBAI NORTH EAST,,147000000.0
MP_LS_406,Lok Sabha,Sanjay Haribhau Jadhav,Maharashtra,PARBHANI,,147000000.0
MP_LS_407,Lok Sabha,Sanjay Jaiswal,Bihar,PASCHIM CHAMPARAN,,147000000.0
MP_LS_408,Lok Sabha,Sanjay Kumar Bandi,Telangana,KARIMNAGAR,,172775317.11
MP_LS_409,Lok Sabha,Sanjay Seth,Jharkhand,RANCHI,,147064357.11
MP_LS_410,Lok Sabha,Sanjay Uttamrao Deshmukh,Maharashtra,YAVATMAL-WASHIM,,185640423.0
MP_LS_411,Lok Sabha,Sanjna Jatav,Rajasthan,BHARATPUR(SC),,147000000.0
MP_LS_412,Lok Sabha,Santosh Pandey,Chhattisgarh,RAJNANDGAON,,147000000.0
MP_LS_413,Lok Sabha,Saptagiri Sankar Ulaka,Odisha,KORAPUT(ST),,269500000.0
MP_LS_414,Lok Sabha,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),,150850348.15
MP_LS_415,Lok Sabha,Sasikanth Senthil,Tamil Nadu,TIRUVALLUR(SC),,171500000.0
MP_LS_416,Lok Sabha,Satpal Brahamchari,Haryana,SONEPAT,,147000000.0
